DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,158500,Coll. Saint-Maurice,Collège Saint-Maurice,"630, rue Girouard Ouest",,54048,Saint-Hyacinthe,V,J2S2Y3,Établissement d'enseignement privé,Privé,https://www.csm.qc.ca,-72.945441,45.63141,450 773-7478
,159500,Coll. Saint-Paul,Collège Saint-Paul,"235, rue Sainte-Anne ",,59020,Varennes,V,J3X1P9,Établissement d'enseignement privé,Privé,https://www.college-st-paul.qc.ca,-73.442096,45.684844,450 652-2941
,164500,Collège Sainte-Marcelline,Collège Sainte-Marcelline,"9155, boulevard Gouin Ouest",,66023,Montréal,V,H4K1C3,Établissement d'enseignement privé,Privé,https://college.marcelline.qc.ca,-73.746823,45.516635,514 334-9651
,165500,Coll. Stanislas,Collège Stanislas,"780, boul. Dollard ",,66023,Montréal,V,H2V3G5,Établissement d'enseignement privé,Privé,https://www.stanislas.qc.ca,-73.614857,45.518005,418 527-9998
,166500,Coll. Ville-Marie,Collège Ville-Marie,"2850, rue Sherbrooke Est ",,66023,Montréal,V,H2K1H3,Établissement d'enseignement privé,Privé,https://www.cvmarie.qc.ca,-73.558806,45.539631,514 525-2516
,167500,Succès Scolaire,Succès Scolaire,"6750, rue Hutchison, bureau 201",,66023,Montréal,V,H3N1Y4,Établissement d'enseignement privé,Privé,https://ecole.successcolaire.ca,-73.617457,45.527984,514 504-6441
,168500,École Akiva,École Akiva,"450, avenue Kensington",,66032,Westmount,V,H3Y3A2,Établissement d'enseignement privé,Privé,https://www.akivaschool.com,-73.598071,45.485155,514 939-2430
,169500,Alexander von Humb Éc. int. all.,Alexander von Humboldt École internationale allemande inc.,"216, place Victoria ",,66112,Baie-D'Urfé,V,H9X2H9,Établissement d'enseignement privé,Privé,https://www.avhmontreal.ca,-73.908621,45.41654,514 457-2886
,179500,École Anglissimo,École Anglissimo,"2796, rue Prospect",,43027,Sherbrooke,V,J1L3A9,Établissement d'enseignement privé,Privé,https://www.ecoleanglissimo.com,-71.942719,45.410457,819 562-2323
,184500,ÉcolACTion,ÉcolACTion,"681, rue Chabanel",,94068,Saguenay,V,G7H1Z7,Établissement d'enseignement privé,Privé,https://www.ecolaction.com,-71.052074,48.417649,418 549-3302
,185500,École Alex Manoogian,École Alex Manoogian,"755, rue Manoogian",,66023,Montréal,V,H4N1Z5,Établissement d'enseignement privé,Privé,https://www.alexmanoogian.qc.ca,-73.667482,45.517839,514 744-5636
,186500,École au Jardin Bleu,École au Jardin Bleu,"1690, rue Sauvé Est ",,66023,Montréal,V,H2C2A8,Établissement d'enseignement privé,Privé,https://www.ecoleaujardinbleu.com,-73.648653,45.563148,514 388-4949
,187500,École Augustin Roscelli,École Augustin Roscelli,"11960, boulevard de l'Acadie",,66023,Montréal,V,H3M2T7,Établissement d'enseignement privé,Privé,https://www.ecoleaugustinroscelli.com,-73.695283,45.540266,514 334-0057
,188500,École Bais Yaakov D'Rav Hirschprung,École Bais Yaakov D'Rav Hirschprung,"1750, avenue Glendale",,66023,Montréal,V,H2V1B3,Établissement d'enseignement privé,Privé,,-73.623648,45.517322,514 739-3614
,189500,École bilingue Notre-Dame de Sion,École bilingue Notre-Dame de Sion,"1775, rue Décarie",,66023,Montréal,V,H4L3N5,Établissement d'enseignement privé,Privé,https://ebnds.com,-73.692637,45.521041,514 747-3895
,196500,École Charles-Perrault (Pierrefonds),École Charles-Perrault (Pierrefonds),"106, rue Cartier",,66023,Montréal,V,H8Y1G8,Établissement d'enseignement privé,Privé,https://www.ecolecharles-perrault.ca,-73.814567,45.503384,514 684-5043
,197500,École Charles Perrault (Laval),École Charles Perrault (Laval),"1750, boulevard de la Concorde Est",,65005,Laval,V,H7G2E7,Établissement d'enseignement privé,Privé,https://ecolecharlesperrault.com/,-73.678766,45.579683,450 975-2233
,198500,École chrétienne Emmanuel,École chrétienne Emmanuel,"4698, boulevard Saint-Jean",,66142,Dollard-des-Ormeaux,V,H9H4S5,Établissement d'enseignement privé,Privé,https://www.emmanuelcs.ca,-73.849777,45.486833,514 696-6430
,204500,École communautaire Belz,École communautaire Belz,"1495, avenue Ducharme",,66023,Montréal,V,H2V1E8,Établissement d'enseignement privé,Privé,,-73.618011,45.520377,514 271-0611
,205500,"Cestar Collège, Campus Longueuil","Cestar Collège, Campus Longueuil","910, boulevard Curé-Poirier Ouest",,58227,Longueuil,V,J4K2C7,Établissement d'enseignement privé,Privé,,-73.488441,45.518413,514 400-2140
,206500,École Félix-Antoine,École Félix-Antoine,"10320, rue Garnier",,66023,Montréal,V,H2C3C2,Établissement d'enseignement privé,Privé,https://www.ecolefelixantoine.qc.ca,-73.654729,45.566061,514 385-1219
,208500,Académie internationale Zig Zag,Académie internationale Zig Zag,"27, rue Laurier Ouest",,39062,Victoriaville,V,G6P6P4,Établissement d'enseignement privé,Privé,https://www.zigetzag.com,-71.915982,46.037487,819 357-8112
,209500,École de Formation Hébraïque,École de Formation Hébraïque,"2, rue Hope",,66142,Dollard-des-Ormeaux,V,H9A2V5,Établissement d'enseignement privé,Privé,https://hfs.qc.ca,-73.820671,45.491926,514 684-6270
,215500,Collège Supérieur de Sherbrooke,Collège Supérieur de Sherbrooke,"108-110, rue Wellington Nord",,43027,Sherbrooke,V,J1H5B8,Établissement d'enseignement privé,Privé,https://www.collegecss.ca,-71.891086,45.403234,819 481-8888
,216500,École de technologie gazière,École de technologie gazière,"1350, rue Nobel, bureau 200",,58033,Boucherville,V,J4B5H3,Établissement d'enseignement privé,Privé,https://etg.energir.com/fr/,-73.426887,45.567135,450 449-6960
,218500,L'Éc. routier prof. du Québec,L'École du Routier Professionnel du Québec (1996) Inc.,"12305, boulevard Métropolitain Est",,66023,Montréal,V,H1B5R3,Établissement d'enseignement privé,Privé,https://www.techni-data.com,-73.526983,45.652486,514 640-1666
,219500,École Miss Edgar et Miss Cramp,École Miss Edgar et Miss Cramp,"525, avenue Mount Pleasant",,66032,Westmount,V,H3Y3H6,Établissement d'enseignement privé,Privé,https://www.ecs.qc.ca,-73.59676,45.491216,514 935-6357
,226500,Éc. Jésus-Marie Beauceville,École Jésus-Marie de Beauceville,"670, 9e avenue ",,27028,Beauceville,V,G5X3P6,Établissement d'enseignement privé,Privé,https://www.ejm.qc.ca,-70.764944,46.203528,418 774-3709
,227500,École Le Sommet,École Le Sommet,"1750, rue Deguire ",,66023,Montréal,V,H4L1M7,Établissement d'enseignement privé,Privé,https://www.summit-school.com,-73.693336,45.515974,514 937-4661
,228500,École Les Mélèzes,École Les Mélèzes,"393, rue De Lanaudière",,61025,Joliette,V,J6E3L9,Établissement d'enseignement privé,Privé,https://www.ecolelesmelezes.ca/,-73.436092,46.022626,450 752-4433
,229500,École Maïmonide,École Maïmonide,"1900, rue Bourdon",,66023,Montréal,V,H4M2X7,Établissement d'enseignement privé,Privé,https://www.ecolemaimonide.org,-73.673654,45.500483,514 744-5300
,237500,Éc. Marcelle-Mallet,École Marcelle-Mallet,"51, rue Déziel",,25213,Lévis,V,G6V3T7,Établissement d'enseignement privé,Privé,https://www.emm.qc.ca,-71.185257,46.810132,418 833-7691
,238500,École Marie Gibeau,École Marie Gibeau,"1331, rue Sainte-Hélène",,58227,Longueuil,V,J4K3S4,Établissement d'enseignement privé,Privé,https://www.ecolemariegibeau.com,-73.497933,45.517821,450 651-1131
,239500,École Marie-Anne,École Marie-Anne,"4567, rue du Mont-Pontbriand ",,62037,Rawdon,M,J0K1S0,Établissement d'enseignement privé,Privé,https://www.ecolemarieanne.org,-73.739535,46.059171,450 834-4668
,244500,École Marie-Clarac,École Marie-Clarac,"11273, avenue de Mère-Anselme",,66023,Montréal,V,H1H4Z2,Établissement d'enseignement privé,Privé,https://www.ecolemarie-clarac.qc.ca,-73.648541,45.589962,514 322-1161
,249500,École Montessori de l'Outaouais,École Montessori de l'Outaouais,"161, rue Principale",,81017,Gatineau,V,J9H7H4,Établissement d'enseignement privé,Privé,https://www.montessori-outaouais.qc.ca,-75.839754,45.396268,819 682-3299
,253500,École Montessori de la Mauricie,École Montessori de la Mauricie,"6400, rue Marion",,37067,Trois-Rivières,V,G9A6H3,Établissement d'enseignement privé,Privé,,-72.578978,46.320023,819 376-5509
,254500,École Montessori de Québec,École Montessori de Québec,"1265, avenue du Buisson",,23027,Québec,V,G1T2C4,Établissement d'enseignement privé,Privé,https://montessori-qc.com,-71.257487,46.779638,418 688-7646
,259500,École Montessori Ville-Marie,École Montessori Ville-Marie,"760, rue Saint-Germain",,66023,Montréal,V,H4L3R5,Établissement d'enseignement privé,Privé,https://www.ecolemontessorivillemarie.com,-73.676618,45.511912,514 335-6688
,266500,École Notre Dame de Nareg,École Notre Dame de Nareg,"500, 67e Avenue",,65005,Laval,V,H7V2N2,Établissement d'enseignement privé,Privé,,-73.732803,45.542211,450 680-1168
,268500,"Résonance Montréal, inc.","Résonance Montréal, inc.","4670, rue Sainte-Catherine Ouest",,66032,Westmount,V,H3Z1S5,Établissement d'enseignement privé,Privé,https://resonancemontreal.ca/,-73.595805,45.478601,514 488-4946
,269500,Collège Pasteur,Collège Pasteur,"12345, avenue de la Miséricorde",,66023,Montréal,V,H4J2E8,Établissement d'enseignement privé,Privé,https://www.collegepasteur.ca,-73.718425,45.53433,514 331-0850
,278500,Éc. Peter Hall,École Peter Hall inc.,"840, boulevard de la Côte-Vertu",,66023,Montréal,V,H4L1Y4,Établissement d'enseignement privé,Privé,https://www.peterhall.qc.ca,-73.673889,45.518624,514 747-4075
,279500,"École Plein Soleil, Coop. de solidarité","École Plein Soleil, Coopérative de solidarité","355, rue du Chardonnay",,43027,Sherbrooke,V,J1L0J3,Établissement d'enseignement privé,Privé,https://www.pleinsoleil.qc.ca,-71.94861,45.420034,819 569-8359
,288500,École première Mesifta du Canada,École première Mesifta du Canada,"2355, avenue Ekers",,66072,Mont-Royal,V,H3S1C6,Établissement d'enseignement privé,Privé,,-73.628991,45.514823,514 738-1738
,304500,École Les Trois Saisons,École Les Trois Saisons,"570, boulevard de Mortagne",,58033,Boucherville,V,J4B5E4,Établissement d'enseignement privé,Privé,https://www.ecoletroissaisons.com,-73.432659,45.593692,450 641-2000
,305500,École Socrates-Démosthène,École Socrates-Démosthène,"5757, avenue Wilderton",,66023,Montréal,V,H3S2K8,Établissement d'enseignement privé,Privé,https://www.socdem.org,-73.61977,45.509047,514 738-2421
,306500,École Rudolf Steiner de Montréal,École Rudolf Steiner de Montréal,"4855, avenue de Kensington",,66023,Montréal,V,H3X3S6,Établissement d'enseignement privé,Privé,https://www.ersm.org,-73.635613,45.471632,514 481-5686
,308500,École St-Georges de Montréal,L'École St-Georges de Montréal inc.,"3100, Le Boulevard",,66023,Montréal,V,H3Y1R9,Établissement d'enseignement privé,Privé,https://www.stgeorges.qc.ca,-73.596726,45.493735,514 937-9289
,311500,École Saint-Joseph (1985),École Saint-Joseph (1985),"4080, avenue De Lorimier",,66023,Montréal,V,H2K3X7,Établissement d'enseignement privé,Privé,https://www.stjoseph.qc.ca,-73.566583,45.531947,514 526-8288
,312500,École Sainte-Anne,École Sainte-Anne,"6855, 13e Avenue",,66023,Montréal,V,H1X2Z3,Établissement d'enseignement privé,Privé,https://primaire.rosemont.sainteanne.ca/,-73.591516,45.558645,514 725-4179
,313500,École Sainte-Famille,École Sainte-Famille,"10425, boulevard Guillaume-Couture",,25213,Lévis,V,G6V9R6,Établissement d'enseignement privé,Privé,,-71.089286,46.826617,418 837-3028
,314500,Éc. sec. de Bromptonville,École secondaire de Bromptonville,"125, rue du Frère-Théode",,43027,Sherbrooke,V,J1C0S3,Établissement d'enseignement privé,Privé,https://ecolesecondairebromptonville.com/,-71.953104,45.47155,819 846-2738
,315500,École secondaire du Verbe Divin,École secondaire du Verbe Divin,"1021, rue Cowie C.P. 786",,47017,Granby,V,J2G8W8,Établissement d'enseignement privé,Privé,https://verbedivin.com,-72.773203,45.396514,450 378-1074
,316500,École secondaire Duval,École secondaire Duval inc.,"260, boulevard Henri-Bourassa Est",,66023,Montréal,V,H3L1B8,Établissement d'enseignement privé,Privé,https://www.ecoleduval.com,-73.669292,45.552632,514 382-6070
,317500,École secondaire privée François-Bourrin,École secondaire privée François-Bourrin,"50, avenue des Cascades",,23027,Québec,V,G1E2J7,Établissement d'enseignement privé,Privé,https://ecolefrancoisbourrin.ca,-71.196091,46.861634,418 661-6978
,321500,Collège Boisbriand 2016,Collège Boisbriand 2016,"4747, rue Ambroise-Lafortune",,73005,Boisbriand,V,J7H0A4,Établissement d'enseignement privé,Privé,https://www.collegeboisbriand.qc.ca,-73.868006,45.64072,450 437-0009
,322500,Collège Letendre,Collège Letendre,"1000, boulevard de l'Avenir",,65005,Laval,V,H7N6J6,Établissement d'enseignement privé,Privé,https://www.collegeletendre.qc.ca,-73.72202,45.560215,450 688-9933
,323500,Éc. sec. Marcellin-Champagnat,École secondaire Marcellin-Champagnat,"14, chemin des Patriotes Est",,56083,Saint-Jean-sur-Richelieu,V,J2X5P9,Établissement d'enseignement privé,Privé,https://www.esmc.qc.ca,-73.247404,45.317844,450 347-5343
,324500,Collège d'Anjou,Collège d'Anjou,"11000, rue Renaude-Lapointe",,66023,Montréal,V,H1J2V7,Établissement d'enseignement privé,Privé,https://www.collegedanjou.qc.ca,-73.592351,45.611626,514 322-8111
,326500,École secondaire Mont-Saint-Sacrement,École secondaire Mont-Saint-Sacrement,"200, boulevard Saint-Sacrement",,22025,Saint-Gabriel-de-Valcartier,M,G0A4S0,Établissement d'enseignement privé,Privé,https://www.mss.qc.ca,-71.507465,46.978589,418 844-3771
,327500,Collège Notre-Dame de Rivière-du-Loup,Collège Notre-Dame de Rivière-du-Loup,"56, rue Saint-Henri",,12072,Rivière-du-Loup,V,G5R2A1,Établissement d'enseignement privé,Privé,https://www.collegenotredame.ca,-69.536041,47.822242,418 862-8257
,335500,Coll. St-Joseph de Hull,Collège Saint-Joseph de Hull,"174, rue Notre-Dame-de-l'ÎIe",,81017,Gatineau,V,J8X3T4,Établissement d'enseignement privé,Privé,https://www.collegestjoseph.ca,-75.710378,45.431405,819 776-3123
,336500,Éc. sec. St-Joseph St-Hyac.,École secondaire Saint-Joseph de Saint-Hyacinthe,"2875, ave Bourdages Nord",,54048,Saint-Hyacinthe,V,J2S5S3,Établissement d'enseignement privé,Privé,https://www.essj.qc.ca,-72.964217,45.632777,450 774-3775
,337500,Collège Saint-Sacrement,Collège Saint-Sacrement,"901, rue Saint-Louis",,64008,Terrebonne,V,J6W1K1,Établissement d'enseignement privé,Privé,https://www.collegesaintsacrement.qc.ca,-73.637612,45.696245,450 471-6615
,338500,École Selwyn House,École Selwyn House,"95, chemin de la Côte-Saint-Antoine",,66032,Westmount,V,H3Y2H8,Établissement d'enseignement privé,Privé,https://www.selwyn.ca,-73.59748,45.486131,514 931-9481
,345500,École Vanguard,École Vanguard,"5935, chemin de la Côte-de-Liesse",,66023,Montréal,V,H4T1C3,Établissement d'enseignement privé,Privé,https://www.vanguardquebec.qc.ca,-73.683734,45.49155,514 747-5500
,347500,École de la Synergie,École de la Synergie,"7445, avenue de Chester",,66023,Montréal,V,H4V1M4,Établissement d'enseignement privé,Privé,https://www.esynergie.ca,-73.654803,45.459612,514 484-5084
,348500,Éducation Plus,Éducation Plus,"1275, rue Hodge",,66023,Montréal,V,H4N2B1,Établissement d'enseignement privé,Privé,https://edplus.ca,-73.667284,45.509941,514 733-9600
,349500,Externat Mont-Jésus-Marie,Externat Mont-Jésus-Marie,"2755, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H3T1B5,Établissement d'enseignement privé,Privé,https://www.montjesusmarie.com,-73.62201,45.506759,514 272-1035
,350500,Externat Sacré-Coeur,Externat Sacré-Coeur,"535, rue Lefrançois ",,73020,Rosemère,V,J7A4R5,Établissement d'enseignement privé,Privé,https://externat.qc.ca,-73.790121,45.654469,450 621-6720
,351500,Externat St-Jean-Berchmans,Externat St-Jean-Berchmans,"2303, chemin Saint-Louis",,23027,Québec,V,G1T1R5,Établissement d'enseignement privé,Privé,https://www.externatsjb.com,-71.259299,46.770638,418 687-5871
,352500,Saint-Jean-Eudes,Saint-Jean-Eudes,"650, avenue du Bourg-Royal",,23027,Québec,V,G2L1M8,Établissement d'enseignement privé,Privé,https://www.saint-jean-eudes.com,-71.24345,46.876965,418 627-1550
,364500,Académie adventiste Greaves,Académie adventiste Greaves,"2330, avenue West Hill",,66023,Montréal,V,H4B2S4,Établissement d'enseignement privé,Privé,https://www.greavesadventistacademy.com,-73.623178,45.463916,514 486-5092
,365500,Institut d'enseignement de Sept-Îles,Institut d'enseignement de Sept-Îles,"737, avenue Gamache",,97007,Sept-Îles,V,G4R2J8,Établissement d'enseignement privé,Privé,https://www.iesi.in,-66.390348,50.217539,418 968-9104
,367500,Collège Reine-Marie,Collège Reine-Marie,"9300, boulevard Saint-Michel",,66023,Montréal,V,H1Z3H1,Établissement d'enseignement privé,Privé,https://www.reine-marie.qc.ca,-73.632718,45.572669,514 382-0484
,368500,Institut Saint-Joseph,Institut Saint-Joseph,"900, avenue Joffre",,23027,Québec,V,G1S4Z3,Établissement d'enseignement privé,Privé,https://www.st-joseph.qc.ca,-71.245111,46.795778,418 688-0736
,374500,Institut secondaire Keranna,Institut secondaire Keranna,"6205, boulevard des Chenaux",,37067,Trois-Rivières,V,G8Y6Z1,Établissement d'enseignement privé,Privé,https://www.keranna.qc.ca,-72.604841,46.357709,819 378-4833
,375500,Institut technique Aviron de Montréal,Institut technique Aviron de Montréal,"5460, avenue Royalmount",,66072,Mont-Royal,V,H4P1H7,Établissement d'enseignement privé,Privé,https://www.avirontech.com,-73.662835,45.496054,514 739-3010
,377500,Juvénat Notre-Dame du Saint-Laurent,Juvénat Notre-Dame du Saint-Laurent,"30, rue du Juvénat",,25213,Lévis,V,G6W7X2,Établissement d'enseignement privé,Privé,https://www.jnd.qc.ca,-71.235499,46.761893,418 839-9592
,380500,L'Académie Centennial,L'Académie Centennial,"2065, rue Sherbrooke Ouest",,66023,Montréal,V,H3H1G6,Établissement d'enseignement privé,Privé,https://www.centennial.qc.ca,-73.586766,45.493525,514 486-5533
,382500,Académie hébraïque inc.,Académie hébraïque inc.,"5700, avenue Kellert",,66058,Côte-Saint-Luc,V,H4W1T4,Établissement d'enseignement privé,Privé,https://www.ha-mtl.org,-73.661623,45.472588,514 489-5321
,384500,L'École Ali Ibn Abi Talib,L'École Ali Ibn Abi Talib,"1610, rue De Beauharnois Ouest",,66023,Montréal,V,H4N1J5,Établissement d'enseignement privé,Privé,https://www.ecoleali.com,-73.652381,45.528778,514 744-0801
,385500,L'École arménienne Sourp Hagop,L'École arménienne Sourp Hagop,"3400, rue Nadon ",,66023,Montréal,V,H4J1P5,Établissement d'enseignement privé,Privé,https://www.ecolesourphagop.com,-73.695949,45.531365,514 332-1373
,386500,L'École des Ursulines de Québec,L'École des Ursulines de Québec,"4, rue du Parloir",,23027,Québec,V,G1R4M5,Établissement d'enseignement privé,Privé,https://www.euq.ca,-71.208191,46.811724,418 692-2612
,388500,L'École Sacré-Coeur de Montréal,L'École Sacré-Coeur de Montréal,"3635, avenue Atwater",,66023,Montréal,V,H3H1Y4,Établissement d'enseignement privé,Privé,https://www.sacredheart.qc.ca,-73.587554,45.495201,514 937-2845
,394500,École à pas de géant,École à pas de géant,"4400, rue Molson",,66023,Montréal,V,H1Y0A3,Établissement d'enseignement privé,Privé,https://www.giantstepsmontreal.com,-73.567084,45.541478,514 935-1911
,395500,École Lucien-Guilbault,École Lucien-Guilbault,"3165, rue de Louvain Est",,66023,Montréal,V,H1Z1J7,Établissement d'enseignement privé,Privé,https://www.lucien-guilbault.ca,-73.631335,45.572592,514 334-2189
,396500,La Réussite inc.,La Réussite inc.,"280, boulevard du Fort-Saint-Louis",Bureau 105,58033,Boucherville,V,J4B1S1,Établissement d'enseignement privé,Privé,https://www.lareussite.qc.ca,-73.454728,45.595314,450 655-4275
,397500,La maternelle de Marie-Claire,La maternelle de Marie-Claire inc.,"18190, boulevard Elkas",,66102,Kirkland,V,H9J3Y4,Établissement d'enseignement privé,Privé,https://maternellemarie-claire.ca/,-73.883374,45.443047,514 697-9995
,398500,La Petite Académie,La Petite Académie,"1090, avenue Pratte",,54048,Saint-Hyacinthe,V,J2S4B6,Établissement d'enseignement privé,Privé,https://www.lapetiteacademie.qc.ca,-72.943017,45.632967,450 771-0644
,401500,Collège François-de-Laval,Collège François-de-Laval,"6, rue de la Vieille-Université",,23027,Québec,V,G1R5X8,Établissement d'enseignement privé,Privé,https://www.collegefdl.ca,-71.206338,46.815291,418 694-1020
,403500,Les écoles communautaires Skver,Les écoles communautaires Skver,"940, avenue Outremont",,66023,Montréal,V,H2V4P8,Établissement d'enseignement privé,Privé,,-73.616903,45.52229,514 274-6252
,404500,Les Éc. juives pop. et les Éc. Peretz,Les Écoles juives populaires et les Écoles Peretz inc.,"6502, chemin Kildare",,66058,Côte-Saint-Luc,V,H4W3B8,Établissement d'enseignement privé,Privé,https://jppsbialik.ca,-73.657625,45.479072,514 731-3841
,405500,Les Filles de Sainte-Marie de Leuca,Les Filles de Sainte-Marie de Leuca,"125, rue Coulonge ",,58227,Longueuil,V,J4G1H7,Établissement d'enseignement privé,Privé,,-73.483332,45.569407,450 674-9805
,407500,Séminaire Marie-Reine-du-Clergé,Séminaire Marie-Reine-du-Clergé,"1569, route 169",,93012,Métabetchouan–Lac-à-la-Croix,V,G8G1A8,Établissement d'enseignement privé,Privé,https://www.autentis.ca,-71.84267,48.438927,418 349-2816
,408500,Le Collège Lower Canada,Le Collège Lower Canada,"4090, avenue Royal",,66023,Montréal,V,H4A2M5,Établissement d'enseignement privé,Privé,https://www.lcc.ca,-73.624113,45.470475,514 482-9797
,410500,École secondaire Loyola,École secondaire Loyola,"7272, rue Sherbrooke Ouest ",,66023,Montréal,V,H4B1R2,Établissement d'enseignement privé,Privé,https://www.loyola.ca,-73.63894,45.456681,514 486-1101
,426500,Académie des Sacrés-Coeurs,Académie des Sacrés-Coeurs,"1575, rang des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,https://www.academiedessacrescoeurs.ca,-73.294795,45.541463,450 653-3681
,434500,Pens. du St-Nom de Marie,Pensionnat du Saint-Nom-de-Marie,"628, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H2V2C5,Établissement d'enseignement privé,Privé,https://www.psnm.qc.ca,-73.613168,45.512113,514 735-5261
,435500,Pensionnat Notre-Dame-des-Anges,Pensionnat Notre-Dame-des-Anges,"5680, boulevard Rosemont",,66023,Montréal,V,H1T2H2,Établissement d'enseignement privé,Privé,https://www.pnda.qc.ca,-73.560568,45.576014,514 254-6447
,436500,Externat Saint-Coeur de Marie,Externat Saint-Coeur de Marie,"28, avenue des Cascades",,23027,Québec,V,G1E2J8,Établissement d'enseignement privé,Privé,https://www.externat-scm.ca,-71.200223,46.862688,418 663-0605
,444500,Séminaire de Chicoutimi,Séminaire de Chicoutimi - services éducatifs,"679, rue Chabanel ",,94068,Saguenay,V,G7H1Z7,Établissement d'enseignement privé,Privé,https://www.seminairedechicoutimi.ca,-71.03712,48.41814,418 549-0190
,445500,Collège Trinité,Collège Trinité,"1475, chemin des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,https://www.collegetrinite.ca,-73.30232,45.535601,450 653-2409
,446500,Sém. de Sherbrooke,Séminaire de Sherbrooke,"195, rue Marquette ",,43027,Sherbrooke,V,J1H1L6,Établissement d'enseignement privé,Privé,https://www.seminaire-sherbrooke.qc.ca,-71.894517,45.403012,819 563-2050
,447500,Collège mariste de Québec,Collège mariste de Québec,"2315, chemin Saint-Louis ",,23027,Québec,V,G1T1R5,Établissement d'enseignement privé,Privé,https://www.collegemariste.ca,-71.26022,46.770003,418 651-4944
,448500,Séminaire du Sacré Coeur,Séminaire du Sacré Coeur,"2738, route 148",,76052,Grenville-sur-la-Rouge,M,J0V1B0,Établissement d'enseignement privé,Privé,https://www.ssc.quebec,-74.749935,45.646397,819 242-0957
,449500,Collège des Hauts Sommets,Collège des Hauts Sommets,"97, avenue de la Montagne",,21005,Saint-Tite-des-Caps,M,G0A4J0,Établissement d'enseignement privé,Privé,https://www.deshautssommets.com,-70.795668,47.109986,418 823-2759
,454500,Séminaire Saint-François,Séminaire Saint-François,"4900, rue Saint-Félix",,23072,Saint-Augustin-de-Desmaures,V,G3A0L4,Établissement d'enseignement privé,Privé,https://www.ss-f.com,-71.391594,46.736352,418 872-0611
,455500,Sém. St-Joseph Trois-Rivières,Séminaire Saint-Joseph de Trois-Rivières,"858, rue Laviolette",,37067,Trois-Rivières,V,G9A5S3,Établissement d'enseignement privé,Privé,https://www.ssj.qc.ca,-72.544762,46.349071,819 376-4459
,456500,Le Séminaire Sainte-Marie,Le Séminaire Sainte-Marie,"5655, boulevard des Hêtres",,36033,Shawinigan,V,G9N4V9,Établissement d'enseignement privé,Privé,https://www.seminairestemarie.com,-72.728811,46.575017,819 539-5493
,457500,Le Salésien,Le Salésien,"135, rue Don Bosco Nord ",,43027,Sherbrooke,V,J1L1E5,Établissement d'enseignement privé,Privé,https://www.lesalesien.com,-71.951989,45.397899,819 566-2222
,463500,Collège Stanstead,Collège Stanstead,"450, rue Dufferin ",,45008,Stanstead,V,J0B3E0,Établissement d'enseignement privé,Privé,https://www.stansteadcollege.com,-72.092061,45.011766,819 876-2223
,464500,Les écoles Azrieli Talmud Torah-Herzliah,Les écoles Azrieli Talmud Torah - Herzliah,"5475, avenue Mountain Sights",,66023,Montréal,V,H3W2Y8,Établissement d'enseignement privé,Privé,https://www.azrieli-tth.ca,-73.634089,45.487752,514 739-2291
,465500,École Priory inc.,École Priory inc.,"3120, Le Boulevard",,66023,Montréal,V,H3Y1R9,Établissement d'enseignement privé,Privé,https://www.priory.qc.ca,-73.597058,45.493321,514 935-5966
,466500,The Study,The Study,"3233, The Boulevard",,66032,Westmount,V,H3Y1S4,Établissement d'enseignement privé,Privé,https://www.thestudy.qc.ca,-73.600725,45.490852,514 935-9352
,467500,Collège Trafalgar pour filles,Collège Trafalgar pour filles,"3495, rue Simpson ",,66023,Montréal,V,H3G2J7,Établissement d'enseignement privé,Privé,,-73.583696,45.498713,514 935-2644
,468500,École Val Marie,École Val Marie inc.,"88, chemin du Passage ",,37067,Trois-Rivières,V,G8T2M3,Établissement d'enseignement privé,Privé,https://www.valmarie.net,-72.54064,46.370872,819 379-8040
,469500,Villa Maria,Villa Maria,"4245, boulevard Décarie",,66023,Montréal,V,H4A3K4,Établissement d'enseignement privé,Privé,,-73.616711,45.481876,514 484-4950
,477500,Villa Sainte-Marcelline,Villa Sainte-Marcelline,"815, avenue Upper Belmont",,66032,Westmount,V,H3Y1K5,Établissement d'enseignement privé,Privé,https://villa.marcelline.qc.ca,-73.617444,45.489622,514 488-2528
,478500,Académie Yéshiva Yavné,Académie Yéshiva Yavné,"7946, chemin Wavell",,66058,Côte-Saint-Luc,V,H4W1L7,Établissement d'enseignement privé,Privé,https://yavne.ca/,-73.664451,45.46113,514 481-8563
,479500,Yeshiva Gedola-Merkaz Hatorah,Yeshiva Gedola-Merkaz Hatorah de Montréal,"6155, chemin Deacon ",,66023,Montréal,V,H3S2P4,Établissement d'enseignement privé,Privé,https://www.yeshivagedola.com,-73.620252,45.512772,514 735-6611
